Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Status
2021-05-20;XRP;142,7;2019-01-28;0,0;175,2;OK
2021-05-20;XRP;72,9;2019-01-28;0,0;89,5;OK
2021-05-20;XRP;285,5;2019-01-28;0,0;350,52;OK
2021-05-20;XRP;142,7;2019-01-28;0,0;175,2;OK
2021-05-20;XRP;72,9;2019-01-28;0,0;89,5;OK
2021-05-20;XRP;285,5;2019-01-28;0,0;350,52;OK
2021-05-20;XRP;138,68;2019-01-28;0,0;170,26;OK
2021-05-20;XRP;4,02;2019-01-28;0,0;25,01;OK
2021-05-20;XRP;72,9;2019-01-28;0,0;453,55;OK
2021-05-20;XRP;79,0;2019-05-29;0,0;491,5;OK
2021-05-20;XRP;112,5;2019-05-29;0,0;699,92;OK
2021-05-20;XRP;27,45;2019-01-28;0,0;170,78;OK
2021-05-21;THETA;3,0;2021-04-05;0,0;26,51;OK
2021-05-21;THETA;3,0;2019-07-18;0,0;26,51;OK
2021-05-21;THETA;56,0;2021-04-05;0,0;494,83;OK
2021-05-21;THETA;56,0;2019-07-18;0,0;494,83;OK
2021-05-21;THETA;49,6;2021-04-05;0,0;438,28;OK
2021-05-21;THETA;49,6;2019-04-10;0,0;438,28;OK
2021-05-21;THETA;346,978;2021-04-05;0,0;3066,01;OK
2021-05-21;THETA;48,522;2021-04-05;0,0;763,26;OK
2021-05-21;THETA;268,4;2019-04-10;0,0;4222,0;OK
2021-05-23;LINK;21,0;2019-08-09;0,0;352,48;OK
2021-05-23;LINK;29,0;2019-08-09;0,0;486,76;OK
2021-05-23;LINK;50,0;2019-08-09;0,0;841,05;OK
2021-05-23;LINK;50,0;2019-08-09;0,0;833,8;OK
2021-05-23;LINK;50,0;2019-08-09;0,0;837,25;OK
2021-05-23;LINK;50,0;2019-08-09;0,0;837,8;OK
2021-05-23;ETH;2,5;2019-02-19;0,0;4431,8;OK
2021-05-23;ETH;0,9625602;2019-02-19;0,0;1710,3;OK
2021-05-23;ETH;0,019277;2019-02-19;0,0;34,25;OK
2021-05-23;ETH;0,27064796;2019-02-19;0,0;480,89;OK
2021-05-23;ETH;0,17914776;2019-02-19;0,0;318,31;OK
2021-05-23;ETH;1,06836708;2019-05-21;0,0;1898,3;OK
2021-05-23;ADA;27,21;2019-02-19;0,0;53,83;OK
2021-05-23;ADA;23,58;2019-02-19;0,0;53,83;OK
2021-05-23;ADA;271,91;2019-02-19;0,0;1557,64;OK
2021-05-23;ADA;150,1;2019-02-19;0,0;859,85;OK
2021-05-23;ADA;150,0;2019-02-19;0,0;859,28;OK
2021-05-23;ADA;712,0;2019-02-19;0,0;4078,69;OK
2021-05-23;ADA;118,9;2019-02-19;0,0;681,12;OK
2021-05-23;ADA;45,5;2019-02-19;0,0;260,65;OK
2021-05-23;ADA;1340,02;2019-02-19;0,0;7676,31;OK
2021-05-23;ADA;1159,98;2019-02-19;0,0;2039,79;OK
2021-05-23;ADA;51,6;2019-02-19;0,0;90,74;OK
2021-05-23;ADA;3282,4;2019-02-19;0,0;5771,99;OK
2021-05-23;ADA;161,8;2019-02-19;0,0;284,52;OK
2021-05-23;ADA;40,0;2019-02-19;0,0;70,34;OK
2021-05-23;ADA;46,0;2019-02-19;0,0;80,89;OK
2021-05-23;ADA;151,4;2019-02-19;0,0;266,23;OK
2021-05-23;ADA;807,2;2019-02-19;0,0;1419,43;OK
2021-05-23;ADA;456,2;2019-02-19;0,0;802,21;OK
2021-05-23;ADA;156,0;2019-02-19;0,0;274,32;OK
2021-05-23;ADA;250,0;2019-02-19;0,0;439,62;OK
2021-05-23;ADA;99,7;2019-02-19;0,0;175,32;OK
2021-05-23;ADA;237,3;2019-02-19;0,0;417,28;OK
2021-05-23;ADA;52,3;2019-02-19;0,0;91,97;OK
2021-05-23;ADA;2131,9;2019-02-19;0,0;3748,88;OK
2021-05-23;ADA;100,0;2019-02-19;0,0;15973,53;OK
2021-05-23;ADA;636,7;2019-02-19;0,0;3280,76;OK
2021-05-23;ADA;45,6;2019-02-19;0,0;234,97;OK
2021-05-23;ADA;205,9;2019-02-19;0,0;1060,95;OK
2021-05-23;ADA;2211,8;2019-02-19;0,0;11396,85;OK
2021-05-24;ADA;45,5;2019-02-19;0,0;56,24;OK
2021-05-24;ADA;197,21;2019-02-19;0,0;243,75;OK
2021-05-24;ADA;134,13;2019-02-19;0,0;265,13;OK
2021-05-24;ADA;80,38;2019-02-19;0,0;265,13;OK
2021-05-24;ADA;80,99;2019-02-19;0,0;12347,0;OK
2021-05-24;ADA;2007,29;2019-02-19;0,0;2498,64;OK
2021-05-24;ADA;51,6;2019-02-19;0,0;64,23;OK
2021-05-24;ADA;3282,4;2019-02-19;0,0;4085,87;OK
2021-05-24;ADA;161,8;2019-02-19;0,0;201,41;OK
2021-05-24;ADA;40,0;2019-02-19;0,0;49,79;OK
2021-05-24;ADA;46,0;2019-02-19;0,0;57,26;OK
2021-05-24;ADA;151,4;2019-02-19;0,0;188,46;OK
2021-05-24;ADA;807,2;2019-02-19;0,0;1004,79;OK
2021-05-24;ADA;456,2;2019-02-19;0,0;567,87;OK
2021-05-24;ADA;156,0;2019-02-19;0,0;194,19;OK
2021-05-24;ADA;250,0;2019-02-19;0,0;311,2;OK
2021-05-24;ADA;99,7;2019-02-19;0,0;124,1;OK
2021-05-24;ADA;237,3;2019-02-19;0,0;295,39;OK
2021-05-24;ADA;52,3;2019-02-19;0,0;65,1;OK
2021-05-24;ADA;2119,82;2019-02-19;0,0;2638,71;OK
2021-05-24;ADA;748,78;2019-02-19;0,0;924,29;OK
2021-05-24;ADA;45,6;2019-02-19;0,0;56,29;OK
2021-05-24;ADA;205,9;2019-02-19;0,0;254,16;OK
2021-05-24;ADA;2500,0;2019-02-19;0,0;3086,0;OK
2021-05-24;ADA;52,8;2019-02-19;0,0;65,18;OK
2021-05-24;ADA;322,7;2019-02-19;0,0;398,34;OK
2021-05-24;ADA;150,1;2019-02-19;0,0;185,28;OK
2021-05-24;ADA;150,0;2019-02-19;0,0;185,16;OK
2021-05-24;ADA;712,0;2019-02-19;0,0;878,89;OK
2021-05-24;ADA;118,9;2019-02-19;0,0;146,77;OK
2021-05-24;ADA;45,5;2019-02-19;0,0;56,17;OK
2021-05-24;ADA;2500,0;2019-02-19;0,0;3086,0;OK
2021-05-24;ADA;51,6;2019-02-19;0,0;63,7;OK
2021-05-24;ADA;2396,12;2019-02-19;0,0;2957,77;OK
2021-05-24;ADA;79,65;2019-02-19;0,0;11794,88;OK
2021-05-24;ADA;176,05;2019-02-19;0,0;11794,88;OK
2021-05-24;ADA;630,58;2019-02-19;0,0;1503,24;OK
2021-05-24;ADA;161,8;2019-02-19;0,0;385,71;OK
2021-05-24;ADA;40,0;2019-02-19;0,0;95,36;OK
2021-05-24;ADA;46,0;2019-02-19;0,0;109,66;OK
2021-05-24;ADA;151,4;2019-02-19;0,0;360,92;OK
2021-05-24;ADA;807,2;2019-02-19;0,0;1924,28;OK
2021-05-24;ADA;456,2;2019-02-19;0,0;1087,53;OK
2021-05-24;ADA;156,0;2019-02-19;0,0;371,89;OK
2021-05-24;ADA;250,0;2019-02-19;0,0;595,97;OK
2021-05-24;ADA;99,7;2019-02-19;0,0;237,67;OK
2021-05-24;ADA;237,3;2019-02-19;0,0;565,7;OK
2021-05-24;ADA;52,3;2019-02-19;0,0;124,68;OK
2021-05-24;ADA;1859,25;2019-02-19;0,0;4432,26;OK
2021-05-24;ADA;1009,35;2019-02-19;0,0;2743,76;OK
2021-05-24;ADA;45,6;2019-02-19;0,0;123,96;OK
2021-05-24;ADA;205,9;2019-02-19;0,0;559,71;OK
2021-05-24;ADA;2500,0;2019-02-19;0,0;6795,85;OK
2021-05-24;ADA;52,8;2019-02-19;0,0;143,53;OK
2021-05-24;ADA;322,7;2019-02-19;0,0;877,21;OK
2021-05-24;ADA;150,1;2019-02-19;0,0;408,02;OK
2021-05-24;ADA;52,55;2019-02-19;0,0;142,85;OK
