Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado
2021-05-24;ADA;807,2;2019-02-19;0,0;1004,79;1004,79
2021-05-24;ADA;456,2;2019-02-19;0,0;567,87;567,87
2021-05-24;ADA;156,0;2019-02-19;0,0;194,19;194,19
2021-05-24;ADA;250,0;2019-02-19;0,0;311,2;311,2
2021-05-24;ADA;99,7;2019-02-19;0,0;124,1;124,1
2021-05-24;ADA;237,3;2019-02-19;0,0;295,39;295,39
2021-05-24;ADA;52,3;2019-02-19;0,0;65,1;65,1
2021-05-24;ADA;2119,82;2019-02-19;0,0;2638,71;2638,71
2021-05-24;ADA;748,78;2019-02-19;0,0;924,29;924,29
2021-05-24;ADA;45,6;2019-02-19;0,0;56,29;56,29
2021-05-24;ADA;205,9;2019-02-19;0,0;254,16;254,16
2021-05-24;ADA;2500,0;2019-02-19;0,0;3086,0;3086,0
2021-05-24;ADA;52,8;2019-02-19;0,0;65,18;65,18
2021-05-24;ADA;322,7;2019-02-19;0,0;398,34;398,34
2021-05-24;ADA;150,1;2019-02-19;0,0;185,28;185,28
2021-05-24;ADA;150,0;2019-02-19;0,0;185,16;185,16
2021-05-24;ADA;712,0;2019-02-19;0,0;878,89;878,89
2021-05-24;ADA;118,9;2019-02-19;0,0;146,77;146,77
2021-05-24;ADA;45,5;2019-02-19;0,0;56,17;56,17
2021-05-24;ADA;2500,0;2019-02-19;0,0;3086,0;3086,0
2021-05-24;ADA;51,6;2019-02-19;0,0;63,7;63,7
2021-05-24;ADA;2396,12;2019-02-19;0,0;2957,77;2957,77
2021-05-24;ADA;79,65;2019-02-19;0,0;11794,88;11794,88
2021-05-24;ADA;176,05;2019-02-19;0,0;11794,88;11794,88
2021-05-24;ADA;630,58;2019-02-19;0,0;1503,24;1503,24
2021-05-24;ADA;161,8;2019-02-19;0,0;385,71;385,71
2021-05-24;ADA;40,0;2019-02-19;0,0;95,36;95,36
2021-05-24;ADA;46,0;2019-02-19;0,0;109,66;109,66
2021-05-24;ADA;151,4;2019-02-19;0,0;360,92;360,92
2021-05-24;ADA;807,2;2019-02-19;0,0;1924,28;1924,28
2021-05-24;ADA;456,2;2019-02-19;0,0;1087,53;1087,53
2021-05-24;ADA;156,0;2019-02-19;0,0;371,89;371,89
2021-05-24;ADA;250,0;2019-02-19;0,0;595,97;595,97
2021-05-24;ADA;99,7;2019-02-19;0,0;237,67;237,67
2021-05-24;ADA;237,3;2019-02-19;0,0;565,7;565,7
2021-05-24;ADA;52,3;2019-02-19;0,0;124,68;124,68
2021-05-24;ADA;1859,25;2019-02-19;0,0;4432,26;4432,26
2021-05-24;ADA;1009,35;2019-02-19;0,0;2743,76;2743,76
2021-05-24;ADA;45,6;2019-02-19;0,0;123,96;123,96
2021-05-24;ADA;205,9;2019-02-19;0,0;559,71;559,71
2021-05-24;ADA;2500,0;2019-02-19;0,0;6795,85;6795,85
2021-05-24;ADA;52,8;2019-02-19;0,0;143,53;143,53
2021-05-24;ADA;322,7;2019-02-19;0,0;877,21;877,21
2021-05-24;ADA;150,1;2019-02-19;0,0;408,02;408,02
2021-05-24;ADA;52,55;2019-02-19;0,0;142,85;142,85
2021-05-24;ADA;0,35;2019-02-19;0,0;11794,88;11794,88
2021-05-24;ADA;49,0;2019-02-19;0,0;12784,32;12784,32
2021-05-24;ADA;48,1;2019-02-19;0,0;409,95;409,95
2021-05-24;ADA;712,0;2019-02-19;0,0;6068,29;6068,29
2021-05-24;ADA;118,9;2019-02-19;0,0;1013,37;1013,37
2021-05-24;ADA;45,5;2019-02-19;0,0;387,79;387,79
2021-05-24;ADA;575,5;2019-02-19;0,0;4904,92;4904,92
2021-05-24;ADA;1924,5;2019-02-19;0,0;2811,02;2811,02
2021-05-24;ADA;51,6;2019-02-19;0,0;75,37;75,37
2021-05-24;ADA;3282,4;2019-02-19;0,0;4794,43;4794,43
2021-05-24;ADA;161,8;2019-02-19;0,0;236,33;236,33
2021-05-24;ADA;40,0;2019-02-19;0,0;58,43;58,43
2021-05-24;ADA;46,0;2019-02-19;0,0;67,19;67,19
2021-05-24;ADA;151,4;2019-02-19;0,0;221,14;221,14
2021-05-24;ADA;807,2;2019-02-19;0,0;1179,03;1179,03
2021-05-24;ADA;456,2;2019-02-19;0,0;666,35;666,35
2021-05-24;ADA;156,0;2019-02-19;0,0;227,86;227,86
2021-05-24;ADA;250,0;2019-02-19;0,0;365,16;365,16
2021-05-24;ADA;99,7;2019-02-19;0,0;145,63;145,63
2021-05-24;ADA;237,3;2019-02-19;0,0;346,61;346,61
2021-05-24;ADA;52,3;2019-02-19;0,0;76,39;76,39
2021-05-24;ADA;1036,1;2019-02-19;0,0;1513,38;1513,38
2021-05-26;THETA;20,166;2019-07-25;0,0;3563,53;3563,53
2021-05-26;THETA;106,934;2019-07-25;0,0;1691,35;1691,35
2021-05-26;THETA;47,0;2021-05-11;0,0;743,39;743,39
2021-05-26;THETA;47,0;2019-02-19;0,0;743,39;743,39
2021-05-26;THETA;24,366;2021-05-11;0,0;385,39;385,39
2021-05-26;THETA;20,069;2021-05-11;0,0;3563,53;3563,53
2021-05-26;THETA;30,254;2021-05-11;0,0;3563,53;3563,53
2021-05-26;THETA;235,944;2021-05-11;0,0;3563,53;3563,53
2021-05-26;THETA;19,367;2021-05-11;0,0;1104,11;1104,11
2021-05-26;THETA;43,14;2019-02-19;0,0;2459,41;2459,41
2021-05-26;THETA;20,161;2019-02-19;0,0;3563,53;3563,53
2021-05-26;THETA;181,0;2019-02-19;0,0;1436,09;1436,09
2021-05-26;THETA;66,601;2019-02-19;0,0;1436,09;1436,09
2021-05-26;THETA;19,098;2019-02-19;0,0;242,32;242,32
2021-05-26;THETA;5,855;2021-05-25;0,0;74,29;74,29
2021-05-26;THETA;29,635;2021-05-25;0,0;316,61;316,61
